,precision,recall,f1-score,support
1.0,0.5846636771300449,0.8069067953954697,0.6780383795309168,8079.0
2.0,0.5398513769488562,0.5014889009204114,0.519963511332538,7388.0
3.0,0.580572891662666,0.5257971014492754,0.5518290364286258,6900.0
4.0,0.6059027777777778,0.47211784157522924,0.5307087944580553,6653.0
5.0,0.6650441131731062,0.32500743383883435,0.43663237790871867,6726.0
6.0,0.860127157129882,0.49486152238286013,0.6282618310482088,5741.0
7.0,0.3904813089693061,0.8120963735717834,0.5273812404226147,8052.0
8.0,0.628852875754687,0.30772819157207276,0.41323867195656716,6431.0
9.0,0.7592256503327284,0.7256432494940734,0.7420546932742055,6918.0
10.0,0.632892606583918,0.6639773531493277,0.6480624438764937,7065.0
accuracy,0.5753720355095564,0.5753720355095564,0.5753720355095564,0.5753720355095564
macro avg,0.6247614435462974,0.5635624763349337,0.5676170980236945,69953.0
weighted avg,0.6157282507692471,0.5753720355095564,0.5692041253126785,69953.0
