,precision,recall,f1-score,support
1.0,0.7944862155388471,0.8632256467384577,0.8274307409384826,8079.0
2.0,0.6869097429766886,0.7777476989713048,0.7295118390147909,7388.0
3.0,0.7383191301792535,0.7282608695652174,0.7332555085364074,6900.0
4.0,0.6830284099360404,0.690214940628288,0.6866028708133971,6653.0
5.0,0.6484699369521759,0.6269699672911091,0.6375387406455515,6726.0
6.0,0.7789089512101421,0.7063229402543111,0.740842239883073,5741.0
7.0,0.7642918878873936,0.7687531048186785,0.7665160052009163,8052.0
8.0,0.7313942151446213,0.6998911522313792,0.7152959872864522,6431.0
9.0,0.7846769413159455,0.7653946227233305,0.7749158495536368,6918.0
10.0,0.7889210165880384,0.7337579617834394,0.7603402757406864,7065.0
accuracy,0.7401969894071734,0.7401969894071734,0.7401969894071734,0.7401969894071734
macro avg,0.7399406447729147,0.7360538905005516,0.7372250057613394,69953.0
weighted avg,0.740858218402524,0.7401969894071734,0.73975192576864,69953.0
