,precision,recall,f1-score,support
18.0,0.36333802156586964,0.42188350571584105,0.3904282115869018,1837.0
19.0,0.3866187696452627,0.4419917864476386,0.4124550898203593,1948.0
20.0,0.4163788850518007,0.4720357941834452,0.4424639580602883,1788.0
21.0,0.528830313014827,0.5177419354838709,0.5232273838630807,1860.0
22.0,0.3257273245864233,0.3175750834260289,0.3215995494226978,1798.0
23.0,0.6487148102815178,0.5760869565217391,0.6102475532527346,1840.0
24.0,0.44988864142538976,0.47395588925387144,0.4616087751371115,2131.0
25.0,0.426246719160105,0.41051567239635994,0.4182333247489055,1978.0
26.0,0.5408163265306123,0.4559716599190283,0.49478308621636463,1976.0
27.0,0.5277608297742525,0.4567053854276663,0.4896688366827059,1894.0
accuracy,0.4546981627296588,0.4546981627296588,0.4546981627296588,0.4546981627296588
macro avg,0.461432064103606,0.45444636687754897,0.45647157687911505,19050.0
weighted avg,0.4618398370752321,0.4546981627296588,0.45680719631026073,19050.0
