,precision,recall,f1-score,support
18.0,0.27676095396561284,0.27163854109961894,0.2741758241758242,1837.0
19.0,0.33807439824945296,0.31724845995893225,0.3273305084745763,1948.0
20.0,0.4013480392156863,0.366331096196868,0.3830409356725146,1788.0
21.0,0.3443374598807886,0.40376344086021504,0.37169017569908436,1860.0
22.0,0.18592964824120603,0.14404894327030032,0.16233155750548417,1798.0
23.0,0.37919776119402987,0.4418478260869565,0.40813253012048195,1840.0
24.0,0.32960199004975127,0.3730642890661661,0.3499889940567907,2131.0
25.0,0.3120365088419852,0.27654196157735084,0.2932189761458054,1978.0
26.0,0.33041191936897457,0.3815789473684211,0.35415688116486616,1976.0
27.0,0.32614056720098644,0.27930306230200636,0.30091012514220705,1894.0
accuracy,0.32650918635170606,0.32650918635170606,0.32650918635170606,0.32650918635170606
macro avg,0.3223839246208474,0.32553665677868354,0.3224976508157635,19050.0
weighted avg,0.32269167454554387,0.32650918635170606,0.32314483939481914,19050.0
