,precision,recall,f1-score,support
1.0,0.40498677748394407,0.6269005847953216,0.4920817075969704,1710.0
2.0,0.7308333333333333,0.6364296081277213,0.6803723816912335,1378.0
3.0,0.5666851134477033,0.6187311178247734,0.5915655690352397,1655.0
4.0,0.7334437086092715,0.6415640839971035,0.6844341444573194,1381.0
5.0,0.7739825581395349,0.7319587628865979,0.7523843164959378,1455.0
6.0,0.6608084358523726,0.46248462484624847,0.5441389290882779,1626.0
7.0,0.49227053140096616,0.5938228438228438,0.5382989963021658,1716.0
8.0,0.7913732394366197,0.5879659908436887,0.674671669793621,1529.0
9.0,0.7059276366435719,0.739516129032258,0.7223316266246553,1240.0
10.0,0.7427937915742794,0.6509067357512953,0.6938211943389714,1544.0
accuracy,0.6246553761323356,0.6246553761323356,0.6246553761323356,0.6246553761323356
macro avg,0.6603105125921597,0.6290280481927852,0.6374100535424392,15234.0
weighted avg,0.6516971435326624,0.6246553761323356,0.630497027258255,15234.0
