,precision,recall,f1-score,support
1.0,0.39089481946624804,0.5824561403508772,0.4678252700798497,1710.0
2.0,0.7276018099547511,0.5834542815674891,0.6476037051953283,1378.0
3.0,0.596628537025888,0.5987915407854985,0.597708082026538,1655.0
4.0,0.7385008517887564,0.6278059377262853,0.67866927592955,1381.0
5.0,0.6894915254237288,0.6989690721649484,0.6941979522184301,1455.0
6.0,0.65,0.48769987699877,0.5572733661278988,1626.0
7.0,0.4602076124567474,0.5425407925407926,0.49799411607381655,1716.0
8.0,0.7455252918287938,0.6265533028122956,0.6808813077469794,1529.0
9.0,0.6920529801324503,0.6741935483870968,0.6830065359477124,1240.0
10.0,0.6684039087947883,0.6645077720207254,0.6664501461513478,1544.0
accuracy,0.6051595116187476,0.6051595116187476,0.6051595116187476,0.6051595116187476
macro avg,0.6359307336872153,0.6086972265354779,0.6171609757497452,15234.0
weighted avg,0.627428861410002,0.6051595116187476,0.6109075311914638,15234.0
