,precision,recall,f1-score,support
1.0,0.3808608762490392,0.57953216374269,0.45964749536178107,1710.0
2.0,0.7370892018779343,0.56966618287373,0.6426524764633648,1378.0
3.0,0.5810488676996425,0.5891238670694864,0.585058505850585,1655.0
4.0,0.7301724137931035,0.6133236784938451,0.6666666666666666,1381.0
5.0,0.6864525139664804,0.6756013745704468,0.6809837201246969,1455.0
6.0,0.6501677852348994,0.47662976629766296,0.5500354861603974,1626.0
7.0,0.4331299859221023,0.5378787878787878,0.47985443202495454,1716.0
8.0,0.7646076794657763,0.5990843688685416,0.6718005133846718,1529.0
9.0,0.6866952789699571,0.6451612903225806,0.6652806652806653,1240.0
10.0,0.633147113594041,0.6606217616580311,0.6465927099841522,1544.0
accuracy,0.5917684127609295,0.5917684127609295,0.5917684127609295,0.5917684127609295
macro avg,0.6283371716772975,0.5946623241775802,0.6048572671301936,15234.0
weighted avg,0.6192965545316697,0.5917684127609295,0.5986346459397617,15234.0
