,precision,recall,f1-score,support
1.0,0.3614295347269049,0.6269005847953216,0.4585115483319076,1710.0
2.0,0.7770398481973435,0.5943396226415094,0.6735197368421053,1378.0
3.0,0.5525727069351231,0.5969788519637462,0.5739180946848679,1655.0
4.0,0.7313566936208445,0.5894279507603186,0.652766639935846,1381.0
5.0,0.8888888888888888,0.6213058419243986,0.7313915857605178,1455.0
6.0,0.6226890756302521,0.45571955719557194,0.5262784090909091,1626.0
7.0,0.42287694974003465,0.5687645687645687,0.4850894632206759,1716.0
8.0,0.7561196736174071,0.5454545454545454,0.6337386018237082,1529.0
9.0,0.6669069935111752,0.7459677419354839,0.704225352112676,1240.0
10.0,0.7079510703363915,0.5997409326424871,0.6493688639551192,1544.0
accuracy,0.5907181304975713,0.5907181304975713,0.5907181304975713,0.5907181304975713
macro avg,0.6487831435204365,0.5944600198077952,0.6088808295758332,15234.0
weighted avg,0.6381086753737197,0.5907181304975713,0.6013285004316508,15234.0
