,precision,recall,f1-score,support
1.0,0.4383440727336923,0.6146800346577547,0.511747732893652,8079.0
2.0,0.33406193078324226,0.2482403898213319,0.28482683646528967,7388.0
3.0,0.4405127279292291,0.3536231884057971,0.3923144947343034,6900.0
4.0,0.34051497635312666,0.29219900796633097,0.3145122148519657,6653.0
5.0,0.3283056812468577,0.19417187035385072,0.24402092675635276,6726.0
6.0,0.6172326172326172,0.46542414213551647,0.5306852035749752,5741.0
7.0,0.36361531336832353,0.5850720317933432,0.4484958111195735,8052.0
8.0,0.26994611507039806,0.24148654952573473,0.254924491135916,6431.0
9.0,0.6295081967213115,0.6383347788378144,0.6338907629369124,6918.0
10.0,0.4472310630171865,0.49723991507431,0.47091152815013404,7065.0
accuracy,0.41963890040455737,0.41963890040455737,0.41963890040455737,0.41963890040455737
macro avg,0.42092726944559844,0.4130471908571784,0.4086330002619075,69953.0
weighted avg,0.4180608532961256,0.41963890040455737,0.41011869120731775,69953.0
