,precision,recall,f1-score,support
1.0,0.5703187075130219,0.7996039113751702,0.6657734721220241,8079.0
2.0,0.5110722610722611,0.4748240389821332,0.4922817850126298,7388.0
3.0,0.5451597962019453,0.5117391304347826,0.5279210585333034,6900.0
4.0,0.5737736577829278,0.4465654591913423,0.5022398782858591,6653.0
5.0,0.6194272217301446,0.311923877490336,0.41491150004944133,6726.0
6.0,0.8465256797583082,0.4880682807873193,0.6191581040768975,5741.0
7.0,0.3944931473021361,0.793591654247392,0.5270103092783505,8052.0
8.0,0.6074856046065259,0.29528844658684494,0.3974050434236685,6431.0
9.0,0.7397080291970803,0.7324371205550737,0.7360546194073213,6918.0
10.0,0.6207849640685461,0.6358103326256193,0.6282078176351304,7065.0
accuracy,0.5606335682529698,0.5606335682529698,0.5606335682529698,0.5606335682529698
macro avg,0.6028749069232898,0.5489852252276013,0.5510963587824627,69953.0
weighted avg,0.5943253545252277,0.5606335682529698,0.5528656852618143,69953.0
