,precision,recall,f1-score,support
1.0,0.4768123221161895,0.7050377521970541,0.5688888888888889,8079.0
2.0,0.45503746877601997,0.44382782891174877,0.4493627518158147,7388.0
3.0,0.6472505091649694,0.46057971014492755,0.5381879762912786,6900.0
4.0,0.5342938311688312,0.3957613106869082,0.45471030135566876,6653.0
5.0,0.5323634204275535,0.2665774606006542,0.35526055082227065,6726.0
6.0,0.8039634146341463,0.4593276432677234,0.5846358496840705,5741.0
7.0,0.35203952368887764,0.6902632886239444,0.4662751677852349,8052.0
8.0,0.4230599647266314,0.2983983828331519,0.3499589678125285,6431.0
9.0,0.6576344668744073,0.7016478751084129,0.678928596405343,6918.0
10.0,0.5623298033282905,0.5261146496815287,0.5436197440585009,7065.0
accuracy,0.5041099023630151,0.5041099023630151,0.5041099023630151,0.5041099023630151
macro avg,0.5444784724905916,0.4947535902056054,0.49898287949195985,69953.0
weighted avg,0.5361970959238367,0.5041099023630151,0.49952171011477786,69953.0
