,precision,recall,f1-score,support
1.0,0.45654585798816566,0.6112142591904939,0.5226779571315163,8079.0
2.0,0.33647099092931715,0.2661072008662696,0.2971808631244804,7388.0
3.0,0.438932664756447,0.3552173913043478,0.3926626081384172,6900.0
4.0,0.3326826094029608,0.30738012926499325,0.31953125,6653.0
5.0,0.3087325234930094,0.20026761819803746,0.24294345748038595,6726.0
6.0,0.6013392857142857,0.46925622713812926,0.5271499853243322,5741.0
7.0,0.3757112664607381,0.5740188772975658,0.4541613442075268,8052.0
8.0,0.28013141967836763,0.251904835950863,0.2652693630260357,6431.0
9.0,0.6294351405052512,0.6410812373518358,0.6352048123746777,6918.0
10.0,0.4588219791803927,0.4928520877565464,0.47522860652381604,7065.0
accuracy,0.42314125198347463,0.42314125198347463,0.42314125198347463,0.42314125198347463
macro avg,0.4218803738108935,0.41692998643190815,0.41320102473311876,69953.0
weighted avg,0.4198224537842196,0.42314125198347463,0.41497288193319154,69953.0
