,precision,recall,f1-score,support
1.0,0.5411271201896772,0.7344968436687709,0.6231556839065372,8079.0
2.0,0.5727180084437327,0.5324851109907959,0.5518692572069861,7388.0
3.0,0.7482343165766514,0.5220289855072464,0.6149906095270616,6900.0
4.0,0.599507302481084,0.5120998045994288,0.5523670557717251,6653.0
5.0,0.6223460721868365,0.3486470413321439,0.4469220506956356,6726.0
6.0,0.7713039014373717,0.5234279742205191,0.6236380616374391,5741.0
7.0,0.3870227547963541,0.7540983606557377,0.5115201550061076,8052.0
8.0,0.5290870488322718,0.38749805628984607,0.4473566107171708,6431.0
9.0,0.7094361334867664,0.7129228100607112,0.7111751982696467,6918.0
10.0,0.6276112624886467,0.5868365180467091,0.6065393899495282,7065.0
accuracy,0.5699398167340929,0.5699398167340929,0.5699398167340929,0.5699398167340929
macro avg,0.6108393920919393,0.5614541505371908,0.5689534072687839,69953.0
weighted avg,0.6036784651332349,0.5699398167340929,0.5691985098338264,69953.0
