,precision,recall,f1-score,support
1.0,0.7636582167832168,0.8650823121673474,0.8112123498346004,8079.0
2.0,0.683900444871949,0.7698971304818625,0.7243553008595989,7388.0
3.0,0.7471715190828179,0.7178260869565217,0.7322048931924016,6900.0
4.0,0.6808698207464002,0.6965278821584248,0.6886098521435471,6653.0
5.0,0.6585327945290643,0.6299435028248588,0.6439209726443769,6726.0
6.0,0.7892074198988196,0.7336700923184114,0.7604260696876692,5741.0
7.0,0.713710141590883,0.7699950322901142,0.7407849931298166,8052.0
8.0,0.7358490566037735,0.679210076193438,0.7063960540147166,6431.0
9.0,0.8236391912908243,0.7655391731714368,0.7935271201678155,6918.0
10.0,0.8427309236947791,0.7425336164189668,0.7894657637321294,7065.0
accuracy,0.7408259831601218,0.7408259831601218,0.7408259831601218,0.7408259831601218
macro avg,0.7439269529092527,0.7370224904981382,0.7390903369406672,69953.0
weighted avg,0.7433357002159539,0.7408259831601218,0.7406445070350721,69953.0
