,precision,recall,f1-score,support
1.0,0.5291021997684454,0.6222304740685728,0.5718998862343572,8079.0
2.0,0.3940298507462687,0.339469409853817,0.3647204246346252,7388.0
3.0,0.4516390782213567,0.4033333333333333,0.4261215740315419,6900.0
4.0,0.3668087794094426,0.3491657898692319,0.3577699060526721,6653.0
5.0,0.32861785509462815,0.25557537912578054,0.28753031696913944,6726.0
6.0,0.5465094160167396,0.5004354642048424,0.5224586288416075,5741.0
7.0,0.4255075779239348,0.5543964232488823,0.4814754894030092,8052.0
8.0,0.3127197187599872,0.30430726170113515,0.3084561431160848,6431.0
9.0,0.6446749654218534,0.6737496386238797,0.6588917161436245,6918.0
10.0,0.5303859649122807,0.5348903043170559,0.5326286116983792,7065.0
accuracy,0.45879376152559576,0.45879376152559576,0.45879376152559576,0.45879376152559576
macro avg,0.45299954062749376,0.4537553478346531,0.4511952697125041,69953.0
weighted avg,0.4536548495530185,0.45879376152559576,0.45388383278731953,69953.0
