,precision,recall,f1-score,support
1.0,0.7650201722821939,0.8684243099393489,0.8134492753623188,8079.0
2.0,0.6899029370981974,0.7407958852192745,0.7144442268781411,7388.0
3.0,0.7965727858839498,0.6804347826086956,0.7339377833359387,6900.0
4.0,0.6986724297622723,0.6802946039380731,0.6893610539943644,6653.0
5.0,0.6594521474467365,0.5798394290811775,0.6170886075949367,6726.0
6.0,0.7695727817514015,0.6934331997909772,0.7295217152281473,5741.0
7.0,0.6288974131995673,0.7940884252359662,0.7019046050826061,8052.0
8.0,0.7072026800670017,0.6565075415953973,0.6809128296105152,6431.0
9.0,0.8094683175528041,0.8032668401272044,0.8063556555176666,6918.0
10.0,0.815278647463995,0.7371549893842887,0.7742510964097228,7065.0
accuracy,0.7286606721655969,0.7286606721655969,0.7286606721655969,0.7286606721655969
macro avg,0.7340040312508119,0.7234240006920403,0.7261226849014358,69953.0
weighted avg,0.7325999045712942,0.7286606721655969,0.727896177308121,69953.0
