,precision,recall,f1-score,support
1.0,0.4041509433962264,0.6263157894736842,0.49128440366972476,1710.0
2.0,0.7301324503311258,0.6400580551523948,0.6821345707656613,1378.0
3.0,0.5693753454947484,0.622356495468278,0.5946882217090069,1655.0
4.0,0.7404006677796328,0.6422881969587255,0.6878635129895309,1381.0
5.0,0.7667386609071274,0.7319587628865979,0.7489451476793249,1455.0
6.0,0.6663740122914837,0.466789667896679,0.5490054249547921,1626.0
7.0,0.49416342412451364,0.5920745920745921,0.5387062566277837,1716.0
8.0,0.785022026431718,0.5827338129496403,0.668918918918919,1529.0
9.0,0.7088803088803088,0.7403225806451613,0.7242603550295857,1240.0
10.0,0.7402214022140221,0.6496113989637305,0.691962745774405,1544.0
accuracy,0.625049231981095,0.625049231981095,0.625049231981095,0.625049231981095
macro avg,0.6605459241850907,0.6294509352469484,0.6377769558118734,15234.0
weighted avg,0.6519204139824692,0.625049231981095,0.630845121512396,15234.0
