,precision,recall,f1-score,support
1.0,0.33148558758314856,0.5245614035087719,0.40625,1710.0
2.0,0.6214539007092199,0.5087082728592163,0.5594573024740622,1378.0
3.0,0.4277456647398844,0.4918429003021148,0.4575604272062957,1655.0
4.0,0.6174773289365211,0.5423606082548877,0.5774865073245952,1381.0
5.0,0.810891089108911,0.5628865979381443,0.6645030425963488,1455.0
6.0,0.56,0.33579335793357934,0.419838523644752,1626.0
7.0,0.34454244762954794,0.36421911421911424,0.35410764872521244,1716.0
8.0,0.6055389221556886,0.5291039895356442,0.5647469458987784,1529.0
9.0,0.608730800323363,0.6072580645161291,0.6079935405732741,1240.0
10.0,0.5334728033472803,0.6606217616580311,0.5902777777777778,1544.0
accuracy,0.5076145464093476,0.5076145464093476,0.5076145464093476,0.5076145464093476
macro avg,0.5461338544533565,0.5127356070725633,0.5202221716221097,15234.0
weighted avg,0.5362923515741973,0.5076145464093476,0.5124293086232403,15234.0
