,precision,recall,f1-score,support
1.0,0.43489254108723135,0.6035087719298246,0.5055106539309331,1710.0
2.0,0.7497812773403325,0.6219158200290276,0.6798889329631099,1378.0
3.0,0.6273148148148148,0.6549848942598188,0.6408513154005321,1655.0
4.0,0.72734375,0.6741491672700941,0.6997369409996242,1381.0
5.0,0.8154335719968179,0.7044673539518901,0.7558997050147492,1455.0
6.0,0.6481340441736482,0.523370233702337,0.5791085403198367,1626.0
7.0,0.5151515151515151,0.6142191142191142,0.5603402445507709,1716.0
8.0,0.7308868501529052,0.6252452583387835,0.6739513570673247,1529.0
9.0,0.691027496382055,0.7701612903225806,0.7284515636918383,1240.0
10.0,0.7407407407407407,0.6735751295336787,0.7055630936227951,1544.0
accuracy,0.6423132466850466,0.6423132466850466,0.6423132466850466,0.6423132466850466
macro avg,0.6680706601840061,0.6465597033557149,0.6529302347561514,15234.0
weighted avg,0.6604935131210207,0.6423132466850466,0.646869187859162,15234.0
