,precision,recall,f1-score,support
18.0,0.44307856761090325,0.4512792596624932,0.4471413160733549,1837.0
19.0,0.4647627821280516,0.5179671457905544,0.4899247390143239,1948.0
20.0,0.5068423720223011,0.5592841163310962,0.5317734645041212,1788.0
21.0,0.5535810446957459,0.5526881720430108,0.5531342480495023,1860.0
22.0,0.4488778054862843,0.40044493882091214,0.42328042328042326,1798.0
23.0,0.7163037080635668,0.6614130434782609,0.6877649053404916,1840.0
24.0,0.5170580416482056,0.5476302205537307,0.531905195989061,2131.0
25.0,0.5571650284531816,0.5444893832153691,0.5507542827921248,1978.0
26.0,0.5710337202874516,0.5227732793522267,0.5458388375165125,1976.0
27.0,0.6284648187633263,0.622492080253432,0.6254641909814324,1894.0
accuracy,0.5385301837270341,0.5385301837270341,0.5385301837270341,0.5385301837270341
macro avg,0.5407167889159019,0.5380461639501086,0.5386981603541349,19050.0
weighted avg,0.5408329323231706,0.5385301837270341,0.5390050885398309,19050.0
