,precision,recall,f1-score,support
18.0,0.3879750425411231,0.3723462166575939,0.38,1837.0
19.0,0.4008897676717746,0.4163244353182752,0.4084613447494334,1948.0
20.0,0.4241048915784165,0.4703579418344519,0.4460355343410236,1788.0
21.0,0.5183160196828869,0.5096774193548387,0.5139604228788289,1860.0
22.0,0.31881630374092684,0.3175750834260289,0.31819448314293675,1798.0
23.0,0.5932686822589845,0.5652173913043478,0.5789034233231283,1840.0
24.0,0.42916666666666664,0.4350070389488503,0.43206711722209273,2131.0
25.0,0.40269101393560786,0.4236602628918099,0.41290958364129093,1978.0
26.0,0.5056433408577878,0.4534412955465587,0.4781216648879402,1976.0
27.0,0.47757255936675463,0.4778247096092925,0.4776986012140406,1894.0
accuracy,0.4441469816272966,0.4441469816272966,0.4441469816272966,0.4441469816272966
macro avg,0.445844428830093,0.4441431794892047,0.4446352175400715,19050.0
weighted avg,0.4459636490296418,0.4441469816272966,0.44469902072937223,19050.0
