,precision,recall,f1-score,support
18.0,0.3873275421563618,0.4126292868807839,0.3995782814971007,1837.0
19.0,0.4591254752851711,0.49589322381930184,0.4768015794669299,1948.0
20.0,0.4703389830508475,0.4966442953020134,0.48313384113166485,1788.0
21.0,0.5399032648125756,0.4801075268817204,0.5082527034718269,1860.0
22.0,0.4709051724137931,0.24304783092324805,0.3206162876008804,1798.0
23.0,0.6206313416009019,0.5983695652173913,0.6092971776425014,1840.0
24.0,0.3660280240205891,0.6006569685593618,0.4548685145700071,2131.0
25.0,0.46734234234234234,0.4196157735085945,0.44219499200852425,1978.0
26.0,0.5577663671373556,0.4397773279352227,0.4917940011318619,1976.0
27.0,0.5543364681295716,0.5601900739176346,0.5572478991596639,1894.0
accuracy,0.4767979002624672,0.4767979002624672,0.4767979002624672,0.4767979002624672
macro avg,0.489370498094951,0.47469318729452714,0.4743785277680962,19050.0
weighted avg,0.4879895510777201,0.4767979002624672,0.4745827808014626,19050.0
