,precision,recall,f1-score,support
18.0,0.20406905055487054,0.18018508437670114,0.1913847932928592,1837.0
19.0,0.3064853556485356,0.1504106776180698,0.20179063360881544,1948.0
20.0,0.27475022706630337,0.3383668903803132,0.3032581453634085,1788.0
21.0,0.2174388909157242,0.3204301075268817,0.2590741143229733,1860.0
22.0,0.20038167938931298,0.05839822024471635,0.09043927648578812,1798.0
23.0,0.33779119930974977,0.4255434782608696,0.37662337662337664,1840.0
24.0,0.24940898345153664,0.4950727358047865,0.33170885080962115,2131.0
25.0,0.24661508704061896,0.12891809908998988,0.1693227091633466,1978.0
26.0,0.2515101592531576,0.23178137651821862,0.24124308664735317,1976.0
27.0,0.24781523096129837,0.2096092925026399,0.22711670480549198,1894.0
accuracy,0.25606299212598427,0.25606299212598427,0.25606299212598427,0.25606299212598427
macro avg,0.2536265863591108,0.25387159623231864,0.23919616911230338,19050.0
weighted avg,0.25380899926870726,0.25606299212598427,0.24005299349738024,19050.0
