,precision,recall,f1-score,support
18.0,0.36516068933395435,0.4267827980402831,0.39357429718875503,1837.0
19.0,0.39391226499552373,0.4517453798767967,0.42085126733620276,1948.0
20.0,0.43645320197044335,0.4955257270693512,0.464117338920901,1788.0
21.0,0.5182599355531686,0.5188172043010753,0.5185384202041913,1860.0
22.0,0.3212121212121212,0.3242491657397108,0.32272349847771936,1798.0
23.0,0.6441605839416058,0.5755434782608696,0.6079219288174512,1840.0
24.0,0.4041002277904328,0.41623650868137024,0.410078594544614,2131.0
25.0,0.42414355628058725,0.3943377148634985,0.40869793031176316,1978.0
26.0,0.4849174729652817,0.4311740890688259,0.45646932761853737,1976.0
27.0,0.5455140798952194,0.43980992608236535,0.4869921075708857,1894.0
accuracy,0.44666666666666666,0.44666666666666666,0.44666666666666666,0.44666666666666666
macro avg,0.4537834133938339,0.44742219919841464,0.448996471099102,19050.0
weighted avg,0.45337386277202657,0.44666666666666666,0.44843040156476693,19050.0
