,precision,recall,f1-score,support
18.0,0.4472527472527473,0.4431137724550898,0.4451736395952967,1837.0
19.0,0.47992616520535303,0.5338809034907598,0.5054678007290401,1948.0
20.0,0.5082051282051282,0.5542505592841164,0.5302300695559122,1788.0
21.0,0.5457429931253305,0.5548387096774193,0.5502532657957878,1860.0
22.0,0.43894993894993894,0.39988876529477196,0.41850989522700816,1798.0
23.0,0.713867758923347,0.6630434782608695,0.6875176105945336,1840.0
24.0,0.5140062249888839,0.5424683247301736,0.5278538812785388,2131.0
25.0,0.5442386831275721,0.5348837209302325,0.5395206527281999,1978.0
26.0,0.564906490649065,0.5197368421052632,0.5413811280969952,1976.0
27.0,0.625,0.6151003167898628,0.620010643959553,1894.0
accuracy,0.5365879265091863,0.5365879265091863,0.5365879265091863,0.5365879265091863
macro avg,0.5382096130427365,0.5361205393018558,0.5365918587560866,19050.0
weighted avg,0.5383127283894151,0.5365879265091863,0.5368802428606284,19050.0
