,precision,recall,f1-score,support
1.0,0.4309016393442623,0.6506993439782152,0.5184673800483258,8079.0
2.0,0.3224407171775593,0.3018408229561451,0.3118008948545861,7388.0
3.0,0.45523698069046226,0.3382608695652174,0.38812671489149414,6900.0
4.0,0.3522664199814986,0.28618668269953407,0.3158069331564107,6653.0
5.0,0.3326162947028771,0.1839131727624145,0.23685974150311154,6726.0
6.0,0.6957250628667225,0.43372234802299253,0.5343347639484979,5741.0
7.0,0.3621609437222932,0.5986090412319921,0.4512897336267029,8052.0
8.0,0.292997542997543,0.2225159384232623,0.2529385771100309,6431.0
9.0,0.6255354428630648,0.6543798785776236,0.6396326386435889,6918.0
10.0,0.4590207206018213,0.49228591648973813,0.47507171151482036,7065.0
accuracy,0.42468514574071164,0.42468514574071164,0.42468514574071164,0.42468514574071164
macro avg,0.43289017649481043,0.41624140147071353,0.412432908929757,69953.0
weighted avg,0.428149865029495,0.42468514574071164,0.41419165004160857,69953.0
