,precision,recall,f1-score,support
1.0,0.7709322399654726,0.8843916326278005,0.82377356315213,8079.0
2.0,0.7018393030009681,0.7850568489442339,0.7411193457705085,7388.0
3.0,0.7879813114225874,0.7088405797101449,0.746318760967422,6900.0
4.0,0.7220427626518997,0.7055463700586202,0.713699254979474,6653.0
5.0,0.6771908208840289,0.6537317870948558,0.6652545578334216,6726.0
6.0,0.8163586315375541,0.7232189514021947,0.7669714602382931,5741.0
7.0,0.6903150771833368,0.8108544461003477,0.7457452884066248,8052.0
8.0,0.742861858392474,0.6998911522313792,0.7207365892714171,6431.0
9.0,0.8376055017192873,0.7746458514021394,0.8048963652748573,6918.0
10.0,0.8465991316931982,0.7452229299363057,0.7926829268292683,7065.0
accuracy,0.7538347175961002,0.7538347175961002,0.7538347175961002,0.7538347175961002
macro avg,0.7593726638450806,0.7491400549508022,0.7521198112723416,69953.0
weighted avg,0.7577575170474881,0.7538347175961002,0.7535710869784389,69953.0
