,precision,recall,f1-score,support
1.0,0.8449322746380196,0.8956554028963981,0.8695547677702338,8079.0
2.0,0.7654143212462364,0.7914185165132648,0.778199241365542,7388.0
3.0,0.8142485858431433,0.7718840579710144,0.7925005579941968,6900.0
4.0,0.7402151180161338,0.7447767924244701,0.7424889488274519,6653.0
5.0,0.7375735775016351,0.6706809396372286,0.702538545397913,6726.0
6.0,0.6833209785025945,0.8028218080473785,0.7382668588819478,5741.0
7.0,0.7789144301359971,0.8037754595131644,0.7911496852270644,8052.0
8.0,0.7839516260826932,0.7459182086767221,0.7644621513944223,6431.0
9.0,0.8318819188191882,0.8146863255276091,0.8231943328708099,6918.0
10.0,0.8645171291272671,0.7893842887473461,0.8252441550754661,7065.0
accuracy,0.785756150558232,0.785756150558232,0.785756150558232,0.785756150558232
macro avg,0.7844969959912909,0.7831001799954597,0.7827599244805048,69953.0
weighted avg,0.7874445045240992,0.785756150558232,0.7856413276828048,69953.0
