,precision,recall,f1-score,support
18.0,0.4055525313010343,0.4055525313010343,0.4055525313010343,1837.0
19.0,0.4126534466477809,0.4486652977412731,0.42990654205607476,1948.0
20.0,0.47401484865790977,0.46420581655480986,0.4690590562305736,1788.0
21.0,0.3810783989414489,0.6193548387096774,0.471841081302478,1860.0
22.0,0.36551724137931035,0.3242491657397108,0.34364868847627467,1798.0
23.0,0.6975138121546961,0.5489130434782609,0.6143552311435523,1840.0
24.0,0.46657929226736566,0.5011731581417175,0.4832579185520362,2131.0
25.0,0.49655963302752293,0.4378159757330637,0.46534121440085974,1978.0
26.0,0.5803076923076923,0.4772267206477733,0.5237434046098306,1976.0
27.0,0.5635802469135802,0.4820485744456177,0.5196357427433125,1894.0
accuracy,0.4716010498687664,0.4716010498687664,0.4716010498687664,0.4716010498687664
macro avg,0.48433571435983414,0.47092051224929393,0.4726341410816026,19050.0
weighted avg,0.48485055713755765,0.4716010498687664,0.4733033346801436,19050.0
