,precision,recall,f1-score,support
18.0,0.39742903053026246,0.40391943385955364,0.4006479481641469,1837.0
19.0,0.42699327569644574,0.4563655030800821,0.4411910669975186,1948.0
20.0,0.46438136047134443,0.4848993288590604,0.4744186046511628,1788.0
21.0,0.5169956140350878,0.5069892473118279,0.511943539630836,1860.0
22.0,0.34159613059250304,0.314238042269188,0.32734646581691773,1798.0
23.0,0.667070952092177,0.5978260869565217,0.6305531670965893,1840.0
24.0,0.3926782273603083,0.4781792585640544,0.43123148539991535,2131.0
25.0,0.4382198952879581,0.423154701718908,0.4305555555555556,1978.0
26.0,0.47580645161290325,0.4777327935222672,0.4767676767676768,1976.0
27.0,0.5203955500618047,0.44456177402323127,0.479498861047836,1894.0
accuracy,0.45921259842519685,0.45921259842519685,0.45921259842519685,0.45921259842519685
macro avg,0.46415664877407947,0.4587866170164695,0.4604154371128155,19050.0
weighted avg,0.4632443629927704,0.45921259842519685,0.46013384028916116,19050.0
