,precision,recall,f1-score,support
18.0,0.2703639514731369,0.2547632008709853,0.2623318385650224,1837.0
19.0,0.3338735818476499,0.31724845995893225,0.32534877599368256,1948.0
20.0,0.4004959702417855,0.36129753914988816,0.37988826815642457,1788.0
21.0,0.36409480584972265,0.3881720430107527,0.3757481134530315,1860.0
22.0,0.18982536066818528,0.13904338153503892,0.16051364365971107,1798.0
23.0,0.377541142303969,0.42391304347826086,0.39938556067588327,1840.0
24.0,0.3098227474150665,0.3937118723603942,0.34676586071502374,2131.0
25.0,0.3129689174705252,0.29524772497472196,0.30385015608740895,1978.0
26.0,0.326334208223972,0.3775303643724696,0.35007038948850305,1976.0
27.0,0.3179864947820749,0.2734952481520591,0.294067556060176,1894.0
accuracy,0.32393700787401575,0.32393700787401575,0.32393700787401575,0.32393700787401575
macro avg,0.3203307180276088,0.3224422877863503,0.31979701628548673,19050.0
weighted avg,0.3203525858454013,0.32393700787401575,0.320523064527119,19050.0
