,precision,recall,f1-score,support
1.0,0.2508942258559019,0.5742690058479533,0.3492176386913229,1710.0
2.0,0.6854166666666667,0.47750362844702465,0.562874251497006,1378.0
3.0,0.41527703066164606,0.4664652567975831,0.43938531587933977,1655.0
4.0,0.6687840290381125,0.5336712527154236,0.5936367297623842,1381.0
5.0,0.7152542372881356,0.5800687285223368,0.640607210626186,1455.0
6.0,0.6065727699530516,0.3972939729397294,0.4801189149015236,1626.0
7.0,0.34334541688244435,0.38636363636363635,0.36358650945983,1716.0
8.0,0.6337890625,0.4244604316546763,0.5084214649432041,1529.0
9.0,0.6299435028248588,0.5395161290322581,0.58123370981755,1240.0
10.0,0.5602462620932278,0.41256476683937826,0.4751958224543081,1544.0
accuracy,0.47636864907443877,0.47636864907443877,0.47636864907443877,0.47636864907443877
macro avg,0.5509523203764045,0.479217680916,0.4994277568032655,15234.0
weighted avg,0.53930577300987,0.47636864907443877,0.49155033278013754,15234.0
