,precision,recall,f1-score,support
1.0,0.7684563758389261,0.878697858645872,0.8198879713576255,8079.0
2.0,0.6766057748968768,0.7770709258256633,0.7233667233667234,7388.0
3.0,0.7463035019455253,0.6949275362318841,0.7196998123827392,6900.0
4.0,0.6813971146545178,0.674432586802946,0.6778969632875057,6653.0
5.0,0.6405572755417956,0.6152245019327981,0.6276353708478689,6726.0
6.0,0.7932098765432098,0.6714858038669221,0.7272898783133667,5741.0
7.0,0.7394258933801992,0.7837804272230502,0.7609573762585157,8052.0
8.0,0.7137803505386718,0.6902503498678277,0.7018181818181818,6431.0
9.0,0.7830757910228109,0.7691529343740966,0.7760519215343105,6918.0
10.0,0.7852306723350654,0.7058740268931352,0.7434406678592725,7065.0
accuracy,0.7315340299915658,0.7315340299915658,0.7315340299915658,0.7315340299915658
macro avg,0.7328042626697598,0.7260896951664195,0.727804486702611,69953.0
weighted avg,0.7327964430295302,0.7315340299915658,0.7305289151751961,69953.0
