,precision,recall,f1-score,support
1.0,0.38171715634038667,0.620745141725461,0.47273412829334965,8079.0
2.0,0.28218125960061446,0.24864645370871682,0.264354583393294,7388.0
3.0,0.4160857908847185,0.3373913043478261,0.37262905162064824,6900.0
4.0,0.32412263009277936,0.2415451675935668,0.27680647661700114,6653.0
5.0,0.284919028340081,0.16741005055010408,0.2109009177748642,6726.0
6.0,0.7227691330581136,0.3964466120884863,0.5120359955005624,5741.0
7.0,0.3276169570585814,0.5931445603576752,0.4220945647370747,8052.0
8.0,0.2768,0.18830663971388586,0.22413473995928188,6431.0
9.0,0.6921906693711968,0.5919340849956635,0.638148667601683,6918.0
10.0,0.41338987406836286,0.45534324133050247,0.4333535394355762,7065.0
accuracy,0.392949551841951,0.392949551841951,0.392949551841951,0.392949551841951
macro avg,0.41217924988148347,0.3840913256411888,0.38271926649333354,69953.0
weighted avg,0.40583045607559043,0.392949551841951,0.3839662922155066,69953.0
