,precision,recall,f1-score,support
1.0,0.845336348219333,0.9254858274538929,0.8835972583313637,8079.0
2.0,0.7698334965719883,0.8511099079588522,0.8084340447415788,7388.0
3.0,0.8493710691823899,0.7828985507246377,0.8147812971342383,6900.0
4.0,0.7889288928892889,0.7904704644521269,0.7896989263458217,6653.0
5.0,0.7828266494178525,0.7197442759440975,0.7499612703330751,6726.0
6.0,0.8639402280770743,0.7653718864309353,0.8116745174101783,5741.0
7.0,0.7945914844649021,0.8575509190263289,0.8248715804563373,8052.0
8.0,0.824133930051384,0.773130150831908,0.7978177150192555,6431.0
9.0,0.8149125242988059,0.8483665799363979,0.8313031161473088,6918.0
10.0,0.8438755767227266,0.802547770700637,0.822692977365061,7065.0
accuracy,0.8159335553871886,0.8159335553871886,0.8159335553871886,0.8159335553871886
macro avg,0.8177750199895746,0.8116676333459815,0.8134832703284219,69953.0
weighted avg,0.8169654075562274,0.8159335553871886,0.8152205955747639,69953.0
