,precision,recall,f1-score,support
1.0,0.8498189225894069,0.9294467137021909,0.8878510198049069,8079.0
2.0,0.7729439081021631,0.8561180292365999,0.8124076809453471,7388.0
3.0,0.8616801651580117,0.7863768115942029,0.8223081003258317,6900.0
4.0,0.7969902182091798,0.796031865323914,0.7965107534967665,6653.0
5.0,0.7986522024983563,0.7224204579244722,0.7586260733801717,6726.0
6.0,0.872211350293542,0.7763455843929629,0.8214911068104322,5741.0
7.0,0.7936920642098123,0.8719572776949827,0.8309859154929577,8052.0
8.0,0.8358283433133733,0.7813714818846214,0.807683034637949,6431.0
9.0,0.8184722222222223,0.8518357906909512,0.834820796146763,6918.0
10.0,0.8501483679525222,0.8110403397027601,0.830134009416878,7065.0
accuracy,0.8225665804182808,0.8225665804182808,0.8225665804182808,0.8225665804182808
macro avg,0.8250437764548592,0.8182944352147657,0.8202818490458004,69953.0
weighted avg,0.8239500155220981,0.8225665804182808,0.8218707262937046,69953.0
