,precision,recall,f1-score,support
18.0,0.182328190743338,0.14153511159499182,0.1593625498007968,1837.0
19.0,0.3123425692695214,0.1273100616016427,0.18088986141502553,1948.0
20.0,0.22856018882769472,0.3249440715883669,0.26836027713625865,1788.0
21.0,0.1904470300061237,0.33440860215053764,0.24268435427233712,1860.0
22.0,0.10606060606060606,0.00389321468298109,0.0075107296137339056,1798.0
23.0,0.31926121372031663,0.39456521739130435,0.35294117647058826,1840.0
24.0,0.22510412722453615,0.5579540122008447,0.3207878052070687,2131.0
25.0,0.2762345679012346,0.09049544994944388,0.13632901751713633,1978.0
26.0,0.14712824547600314,0.09463562753036438,0.11518324607329843,1976.0
27.0,0.23227548953409857,0.1816261879619852,0.20385185185185184,1894.0
accuracy,0.2279790026246719,0.2279790026246719,0.2279790026246719,0.2279790026246719
macro avg,0.22197422287634733,0.2251367556652463,0.19879008693580955,19050.0
weighted avg,0.22263301671246688,0.2279790026246719,0.19980129639010452,19050.0
