,precision,recall,f1-score,support
18.0,0.4044002095337873,0.4202504082743604,0.41217298451681794,1837.0
19.0,0.39449886963074604,0.5374743326488707,0.455019556714472,1948.0
20.0,0.4851258581235698,0.4742729306487696,0.4796380090497738,1788.0
21.0,0.5422612513721186,0.5311827956989247,0.5366648560564911,1860.0
22.0,0.40226063829787234,0.3364849833147942,0.36644457904300426,1798.0
23.0,0.7093596059113301,0.6260869565217392,0.6651270207852193,1840.0
24.0,0.4214876033057851,0.5504458000938527,0.47741147741147744,2131.0
25.0,0.4777777777777778,0.41304347826086957,0.443058568329718,1978.0
26.0,0.532293986636971,0.48380566801619435,0.5068928950159067,1976.0
27.0,0.6,0.4751847940865892,0.5303476723629935,1894.0
accuracy,0.4859842519685039,0.4859842519685039,0.4859842519685039,0.4859842519685039
macro avg,0.4969465800589957,0.4848232147564964,0.4872777619285874,19050.0
weighted avg,0.4959218735985036,0.4859842519685039,0.48723689718500585,19050.0
