,precision,recall,f1-score,support
18.0,0.4397442203639941,0.48666303756124113,0.462015503875969,1837.0
19.0,0.44073226544622424,0.49435318275154005,0.46600532300992015,1948.0
20.0,0.4514613778705637,0.4837807606263982,0.46706263498920086,1788.0
21.0,0.5351731601731602,0.5317204301075269,0.5334412081984897,1860.0
22.0,0.36093660765276986,0.3515016685205784,0.35615666384897154,1798.0
23.0,0.6648471615720524,0.6619565217391304,0.6633986928104575,1840.0
24.0,0.44821658788139235,0.48944157672454247,0.4679228353521759,2131.0
25.0,0.5038759689922481,0.42719919110212334,0.46238030095759236,1978.0
26.0,0.48337730870712403,0.46356275303643724,0.47326272281064324,1976.0
27.0,0.5573770491803278,0.46673706441393875,0.5080459770114942,1894.0
accuracy,0.48551181102362206,0.48551181102362206,0.48551181102362206,0.48551181102362206
macro avg,0.48857417078398563,0.4856916186583457,0.48596918628649144,19050.0
weighted avg,0.4883945571600806,0.48551181102362206,0.48577274451381935,19050.0
