,precision,recall,f1-score,support
18.0,0.37967914438502676,0.3864997278170931,0.38305907742109524,1837.0
19.0,0.4095769409576941,0.45225872689938396,0.42986094169309585,1948.0
20.0,0.5802469135802469,0.39429530201342283,0.4695304695304695,1788.0
21.0,0.4259882253994954,0.5446236559139785,0.4780556866446437,1860.0
22.0,0.401123595505618,0.1985539488320356,0.265625,1798.0
23.0,0.6516044531761624,0.5407608695652174,0.5910305910305911,1840.0
24.0,0.2988709320345362,0.6335053965274519,0.40613718411552346,2131.0
25.0,0.4119496855345912,0.33114256825075833,0.367152466367713,1978.0
26.0,0.45960832313341493,0.3800607287449393,0.41606648199445984,1976.0
27.0,0.5907668231611893,0.3986272439281943,0.4760403530895334,1894.0
accuracy,0.4289763779527559,0.4289763779527559,0.4289763779527559,0.4289763779527559
macro avg,0.46094150368679754,0.42603281684924754,0.4282558251887125,19050.0
weighted avg,0.4579604888315278,0.4289763779527559,0.4278381337960448,19050.0
