,precision,recall,f1-score,support
1.0,0.25882074354724127,0.6391812865497076,0.36844766559919095,1710.0
2.0,0.7261009667024705,0.49056603773584906,0.5855348635773062,1378.0
3.0,0.40736949846468784,0.4809667673716012,0.44111942366306456,1655.0
4.0,0.6973180076628352,0.5271542360608255,0.6004123711340206,1381.0
5.0,0.7145214521452146,0.5951890034364261,0.6494188226471691,1455.0
6.0,0.6531671858774662,0.38683886838868387,0.4859018926226342,1626.0
7.0,0.35509983810037776,0.38344988344988346,0.36873073690109276,1716.0
8.0,0.6891891891891891,0.43361674296926095,0.5323163388197512,1529.0
9.0,0.6736526946107785,0.5443548387096774,0.6021409455842998,1240.0
10.0,0.5770642201834862,0.4073834196891192,0.4776006074411541,1544.0
accuracy,0.48660890114218197,0.48660890114218197,0.48660890114218197,0.48660890114218197
macro avg,0.5752303796483746,0.48887010843610346,0.5111623667989684,15234.0
weighted avg,0.5626532715611431,0.48660890114218197,0.5029433689267415,15234.0
