,precision,recall,f1-score,support
1.0,0.39111635220125784,0.5818713450292398,0.4677950164551011,1710.0
2.0,0.6503391107761869,0.6262699564586357,0.6380776340110905,1378.0
3.0,0.5578778135048231,0.6290030211480363,0.5913092871343368,1655.0
4.0,0.6932565789473685,0.6104272266473569,0.6492106276472853,1381.0
5.0,0.7334263782274948,0.7223367697594502,0.7278393351800554,1455.0
6.0,0.6115506329113924,0.47539975399754,0.5349480968858131,1626.0
7.0,0.5046780407264722,0.5343822843822844,0.5191055759977357,1716.0
8.0,0.7404643449419569,0.5840418574231524,0.6530164533820841,1529.0
9.0,0.6761102603369066,0.7120967741935483,0.6936370777690495,1240.0
10.0,0.7338645418326694,0.5965025906735751,0.6580921757770632,1544.0
accuracy,0.6025994486018117,0.6025994486018117,0.6025994486018117,0.6025994486018117
macro avg,0.6292684054406529,0.607233157971282,0.6133031280239615,15234.0
weighted avg,0.6220840987223152,0.6025994486018117,0.6071065159829182,15234.0
