,precision,recall,f1-score,support
1.0,0.34314240672622176,0.38187134502923975,0.36147246055909216,1710.0
2.0,0.5346205059920106,0.5827285921625545,0.5576388888888889,1378.0
3.0,0.4873417721518987,0.5117824773413897,0.49926318891836136,1655.0
4.0,0.6530291109362707,0.6010137581462708,0.6259426847662142,1381.0
5.0,0.7010148321623731,0.6171821305841925,0.6564327485380117,1455.0
6.0,0.5359477124183006,0.4034440344403444,0.46035087719298246,1626.0
7.0,0.3622291021671827,0.3409090909090909,0.3512458721104773,1716.0
8.0,0.5662805662805663,0.5755395683453237,0.5708725267596497,1529.0
9.0,0.5647382920110193,0.6612903225806451,0.6092124814264487,1240.0
10.0,0.5602125147579693,0.6146373056994818,0.5861642989499691,1544.0
accuracy,0.5199553630038073,0.5199553630038073,0.5199553630038073,0.5199553630038073
macro avg,0.5308556815603813,0.5290398625238533,0.5278596028110095,15234.0
weighted avg,0.5235633253973653,0.5199553630038073,0.5196898425699222,15234.0
