,precision,recall,f1-score,support
1.0,0.2493347525279404,0.547953216374269,0.3427212874908559,1710.0
2.0,0.5678260869565217,0.47387518142235124,0.5166139240506329,1378.0
3.0,0.3860349127182045,0.4676737160120846,0.42295081967213116,1655.0
4.0,0.6048317515099223,0.5076031860970311,0.5519685039370079,1381.0
5.0,0.6356986100950988,0.5972508591065292,0.6158752657689582,1455.0
6.0,0.5683520599250936,0.37330873308733087,0.4506310319227914,1626.0
7.0,0.3463414634146341,0.331002331002331,0.33849821215733017,1716.0
8.0,0.5909510618651893,0.4185742315238718,0.4900459418070444,1529.0
9.0,0.6025641025641025,0.49274193548387096,0.5421472937000887,1240.0
10.0,0.5343434343434343,0.3426165803108808,0.4175217048145225,1544.0
accuracy,0.45221215701719836,0.45221215701719836,0.45221215701719836,0.45221215701719836
macro avg,0.5086278235920141,0.4552599970420551,0.4688973985321363,15234.0
weighted avg,0.49902592922255506,0.45221215701719836,0.4618671000756529,15234.0
