,precision,recall,f1-score,support
1.0,0.3700272479564033,0.39707602339181286,0.3830747531734838,1710.0
2.0,0.5171521035598705,0.5798258345428157,0.5466985973315087,1378.0
3.0,0.4880382775119617,0.4930513595166163,0.4905320108205591,1655.0
4.0,0.6059225512528473,0.5778421433743663,0.5915492957746479,1381.0
5.0,0.6723372781065089,0.6247422680412371,0.6476665479159245,1455.0
6.0,0.4988747186796699,0.4089790897908979,0.44947617438323756,1626.0
7.0,0.38373570520965694,0.351981351981352,0.36717325227963526,1716.0
8.0,0.5883143049026192,0.5729234793982996,0.5805168986083499,1529.0
9.0,0.5417789757412399,0.6483870967741936,0.5903083700440529,1240.0
10.0,0.578689528475199,0.6120466321243523,0.5949008498583569,1544.0
accuracy,0.5182486543258501,0.5182486543258501,0.5182486543258501,0.5182486543258501
macro avg,0.5244870691395976,0.5266855278935944,0.5241896750189756,15234.0
weighted avg,0.51874827502378,0.5182486543258501,0.5171695265266545,15234.0
