,precision,recall,f1-score,support
1.0,0.30287398673544585,0.4807017543859649,0.3716094032549729,1710.0
2.0,0.5360065466448445,0.4753265602322206,0.5038461538461538,1378.0
3.0,0.4293317563571851,0.43867069486404836,0.4339509862522415,1655.0
4.0,0.5913461538461539,0.5343953656770456,0.5614302015975656,1381.0
5.0,0.7766903914590747,0.6,0.6770065917022101,1455.0
6.0,0.4830119375573921,0.3234932349323493,0.3874769797421731,1626.0
7.0,0.2878619153674833,0.30128205128205127,0.29441913439635536,1716.0
8.0,0.5906571654790183,0.48790058862001306,0.5343839541547278,1529.0
9.0,0.5620094191522763,0.5774193548387097,0.569610182975338,1240.0
10.0,0.4886927744070601,0.5738341968911918,0.5278522490318737,1544.0
accuracy,0.4729552317185243,0.4729552317185243,0.4729552317185243,0.4729552317185243
macro avg,0.5048482047005933,0.4793023801723594,0.4861585836953612,15234.0
weighted avg,0.49545134174146677,0.4729552317185243,0.47800807602261697,15234.0
