,precision,recall,f1-score,support
1.0,0.3468882602545969,0.5736842105263158,0.43234905244601146,1710.0
2.0,0.708092485549133,0.5333817126269956,0.6084437086092715,1378.0
3.0,0.48547945205479454,0.5353474320241692,0.5091954022988506,1655.0
4.0,0.7204301075268817,0.5821868211440985,0.6439727673207849,1381.0
5.0,0.8520992366412213,0.613745704467354,0.7135437475029964,1455.0
6.0,0.5887480190174327,0.45694956949569493,0.5145429362880887,1626.0
7.0,0.3747747747747748,0.48484848484848486,0.42276422764227645,1716.0
8.0,0.7840909090909091,0.5415304120340092,0.6406189555125725,1529.0
9.0,0.6683375104427736,0.6451612903225806,0.6565449322938038,1240.0
10.0,0.5845498783454988,0.6224093264248705,0.6028858218318696,1544.0
accuracy,0.555533674675069,0.555533674675069,0.555533674675069,0.555533674675069
macro avg,0.6113490633698015,0.5589244963914574,0.5744861551746526,15234.0
weighted avg,0.5998223413831365,0.555533674675069,0.566797379690675,15234.0
